lat,lon,land use
100.265888,14.22354319,6
100.2659173,14.23113797,6
100.2659445,14.43908284,8
100.2661146,14.2456221,8
100.2661789,14.18308866,8
100.2662416,14.18198088,6
100.2663246,14.30274313,8
100.2663248,14.45656278,8
100.2663735,14.2681866,6
100.2664038,14.46062546,6
100.2664557,14.21998379,8
100.2665418,14.4387925,6
100.2666295,14.24055033,6
100.2667124,14.48805854,8
100.2667457,14.17238403,6
100.2667723,14.24703298,8
100.2668508,14.43791373,6
100.266856,14.46678007,6
100.266859,14.46325224,6
100.2669698,14.45737148,6
100.2669842,14.45946957,8
100.2670522,14.45878359,8
100.2670592,14.48669509,6
100.2671289,14.48161911,8
100.2671403,14.19678679,8
100.2671794,14.2724747,6
100.2672212,14.17388913,8
100.2672253,14.21003196,4
100.2673001,14.24491821,6
100.2673472,14.48458643,6
100.2673524,14.22694953,6
100.2673696,14.31799528,6
100.2674051,14.30529104,6
100.2675039,14.24806903,8
100.2675229,14.31832394,8
100.2675482,14.46847933,6
100.2676432,14.17520408,8
100.2676666,14.45282525,8
100.267687,14.28840101,6
100.267697,14.45714882,8
100.2677032,14.29406638,8
100.2677081,14.28311622,8
100.2677537,14.47082757,8
100.2678515,14.17610224,8
100.2678738,14.27813126,8
100.2678767,14.2727229,6
100.2679513,14.316361,8
100.2680996,14.46657769,6
100.268105,14.17269934,6
100.2681649,14.2635485,8
100.2681916,14.1800365,6
100.2683509,14.44962835,8
100.2683651,14.1780922,8
100.2684092,14.19418645,6
100.2684309,14.4605057,6
100.2684405,14.46808333,6
100.2685804,14.23888906,6
100.2686204,14.21452169,6
100.2686918,14.46874678,8
100.2687274,14.25855487,8
100.2687475,14.44204499,8
100.2687555,14.24938214,6
100.2688132,14.48329002,8
100.2689572,14.30679861,6
100.269083,14.19295347,6
100.2690842,14.43778286,8
100.269162,14.24659808,6
100.2691803,14.46881625,6
100.2692076,14.24007385,6
100.2692286,14.31491506,8
100.2693269,14.48510471,8
100.2693484,14.22660153,8
100.2693587,14.24780663,6
100.2695211,14.26916393,6
100.269631,14.31659161,6
100.2696363,14.23349747,6
100.2697529,14.22856033,6
100.2697791,14.18633286,6
100.2698401,14.44670872,8
100.2698799,14.44925377,6
100.2699942,14.17423378,8
100.2700188,14.44974024,10
100.2700304,14.17546324,6
100.2700407,14.4423472,6
100.2700574,14.18910875,4
100.2700703,14.17786355,8
100.2700805,14.19336772,6
100.2701073,14.19965307,6
100.2701429,14.17237019,6
100.2703306,14.23624055,6
100.2703771,14.28007378,8
100.2704004,14.46734904,6
100.2704473,14.47443752,8
100.2704673,14.2509445,8
100.2704917,14.24825832,6
100.2705085,14.25957498,6
100.2705767,14.19710648,6
100.2706679,14.26297268,6
100.2706779,14.30547795,10
100.2707073,14.22174298,8
100.270752,14.43804846,8
100.2707542,14.47573551,6
100.2707733,14.44342073,6
100.2708011,14.44054986,6
100.2708085,14.48627518,6
100.2708354,14.24586546,8
100.2708414,14.28999732,8
100.2708581,14.23823609,10
100.2708947,14.19103691,8
100.2710897,14.48427774,8
100.2711555,14.44217426,8
100.2712296,14.21120703,8
100.2712432,14.4681333,6
100.2712703,14.25928663,6
100.2713844,14.48501431,8
100.271422,14.29578748,10
100.2714448,14.21334822,6
100.2714759,14.25225596,6
100.2715132,14.43142906,8
100.2715809,14.44294448,8
100.2716137,14.17665629,6
100.2716198,14.26753739,6
100.2716289,14.20342904,6
100.2717627,14.29798338,8
100.2718,14.17744568,8
100.2718086,14.25384453,8
100.2718727,14.18238929,8
100.2719098,14.25004225,6
100.2720766,14.48420556,8
100.2720968,14.48239173,4
100.2722182,14.31798866,6
100.2722453,14.25530743,4
100.2722977,14.29305389,8
100.2723017,14.44421298,8
100.2723485,14.46632281,8
100.2724527,14.48054025,6
100.2724969,14.23245681,6
100.2725616,14.47465723,6
100.2725733,14.31165014,8
100.2726014,14.30147215,8
100.272602,14.25304301,6
100.2726068,14.20229694,6
100.2726117,14.4438768,6
100.2726305,14.27970164,8
100.2726495,14.48014057,8
100.2726667,14.48440039,6
100.2727163,14.25120698,6
100.2727256,14.36930597,6
100.2727522,14.18657451,8
100.2728338,14.31113734,6
